field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,56351781.0,63323121.0,,80265801.0,93237141.0,106208481.0,119179821.0,132151161.0,,119093841.0,,106885288.0,498760611.0,7616083159.0,16319455339.0,25022827519.0,,,,,,
- Nguyên giá__3,1200958230.0,1200958230.0,,1200958230.0,1200958230.0,1200958230.0,1200958230.0,1200958230.0,,1181458230.0,52214983014.0,52214983014.0,52214983014.0,52214983014.0,52214983014.0,52214983014.0,,,,,,
- Giá trị hao mòn luỹ kế__3,-1144606449.0,-1137635109.0,,-1120692429.0,-1107721089.0,-1094749749.0,-1081778409.0,-1068807069.0,,-1062364389.0,-52214983014.0,-52108097726.0,-51716222403.0,-44598899855.0,-35895527675.0,-27192155495.0,,,,,,
. Bất động sản đầu tư__1,172209714771.0,175052693617.0,,182367701517.0,119875367823.0,123875191129.0,95022520914.0,91598336862.0,,33952137803.0,,,,,,,,,,,,
- Nguyên giá__4,412633630839.0,398316192580.0,,377832866539.0,301621976119.0,296188137294.0,258575152301.0,247412014063.0,,170894274256.0,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,-240423916068.0,-223263498963.0,,-195465165022.0,-181746608296.0,-172312946165.0,-163552631387.0,-155813677201.0,,-136942136453.0,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,142313493634.0,96500178690.0,,1153851142.0,54263205632.0,89401821639.0,113898505017.0,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,113898505017.0,,,,,,,,,,,,,,,
