field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,13581517880.0,13747931180.0,10741792641.0,10902159676.0,12250679053.0,13712433989.0,7849682498.0,7058902571.0,7232399589.0,10262330902.0,9554317423.0,,,,,,,,,,
. Chi phí trả trước dài hạn__1,13581517880.0,13747931180.0,10740192641.0,10676234036.0,12031003653.0,13492225749.0,7849682498.0,7058902571.0,7232399589.0,10262330902.0,9554317423.0,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,1600000.0,225925640.0,219675400.0,220208240.0,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,240412873191.0,273336851884.0,250606666354.0,219151683483.0,254541844411.0,263305494015.0,251724933712.0,144441196555.0,133590016513.0,118632803756.0,124256632897.0,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,144610481729.0,206860381413.0,196347209083.0,170765081387.0,207477476127.0,193599380729.0,182877149747.0,74733163288.0,62494703545.0,55116262814.0,56752193685.0,,,,,,,,,,
. Nợ ngắn hạn__1,112388881729.0,161822794972.0,145000945534.0,108966309347.0,132662679804.0,106576959017.0,114303717209.0,74733163288.0,62494703545.0,54239327771.0,53841830106.0,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,20181408054.0,16539649945.0,19287712218.0,16875056699.0,16223848953.0,10807393830.0,23786228168.0,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,1937964700.0,5756215701.0,4314724158.0,2727813551.0,5460650827.0,7610448814.0,11509165469.0,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,818663397.0,352016709.0,252635311.0,14003722.0,5110719.0,364667992.0,782038220.0,181133435.0,1657088563.0,1037311758.0,294997766.0,,,,,,,,,,
.. Phải trả người lao động__1,12455722551.0,13885102126.0,9088610973.0,6987595985.0,1646784822.0,1977803044.0,1720676107.0,1550768098.0,1359287635.0,1246674448.0,956526790.0,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,390489031.0,284006093.0,275315746.0,349031132.0,314800398.0,156773782.0,1427250000.0,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,68181818.0,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,1618654471.0,2337334570.0,2952331951.0,3400294260.0,3466532821.0,4446512543.0,19344351070.0,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,74396313180.0,122084810103.0,105669771408.0,73971770229.0,105459357495.0,80310250441.0,54475027948.0,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,459462576.0,507634138.0,3150000000.0,4600000000.0,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",130203769.0,7843769.0,9843769.0,40743769.0,85593769.0,903108571.0,1258980227.0,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,32221600000.0,45037586441.0,51346263549.0,61798772040.0,74814796323.0,87022421712.0,68573432538.0,,,876935043.0,2910363579.0,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,1798772040.0,4359163024.0,6132919840.0,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,32221600000.0,45037586441.0,51346263549.0,60000000000.0,70455633299.0,80889501872.0,68573432538.0,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,95802391462.0,66476470471.0,54259457271.0,48386602096.0,47064368284.0,69706113286.0,68847783965.0,69708033267.0,71095312968.0,63516540942.0,67504439212.0,,,,,,,,,,
I. Vốn chủ sở hữu__1,95802391462.0,66476470471.0,54259457271.0,48386602096.0,47064368284.0,69706113286.0,68847783965.0,,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,80000000000.0,60000000000.0,60000000000.0,60000000000.0,60000000000.0,60000000000.0,60000000000.0,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,80000000000.0,60000000000.0,60000000000.0,,60000000000.0,60000000000.0,60000000000.0,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,5631775383.0,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,5631775383.0,5631775383.0,5631775383.0,,5631775383.0,5631775383.0,5405652787.0,,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,10170616079.0,844695088.0,-11372318112.0,-17245173287.0,-18567407099.0,4074337903.0,3442131178.0,,,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,9625920991.0,12217013200.0,5872855175.0,1322233812.0,-18621745002.0,4070206725.0,,,,,,,,,,,,,,,
- LNST chưa phân phối kỳ này__1,544695088.0,-11372318112.0,-17245173287.0,-18567407099.0,54337903.0,4131178.0,,,,,,,,,,,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,,,,,,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí__1,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,,,,,,,,,,,,,,
Tổng cộng nguồn vốn__1,240412873191.0,273336851884.0,250606666354.0,219151683483.0,254541844411.0,263305494015.0,251724933712.0,144441196555.0,133590016513.0,118632803756.0,124256632897.0,,,,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Đầu tư dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ ngắn hạn__1,,,,,,,,34542000000.0,12987761043.0,19002941283.0,21159099697.0,,,,,,,,,,
.. Phải trả người bán__1,,,,,,,,6354541331.0,9381171177.0,5970624028.0,2476738093.0,,,,,,,,,,
.. Người mua trả tiền trước__1,,,,,,,,7855226269.0,4892318033.0,2301475817.0,3088958361.0,,,,,,,,,,
.. Chi phí phải trả__1,,,,,,,,,6671104000.0,840441240.0,7522216981.0,,,,,,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,,,,,,,,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng trợ cấp mất việc làm__1,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__2,,,,,,,,,,,,,,,,,,,,,
