field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003]
.. Phải thu dài hạn khác__1,265501804717.0,271216804717.0,,314862713096.0,352941856676.0,480301101176.0,447777353441.0,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,-221632870959.0,-268465011025.0,,,,,,,,,,,,
. Tài sản cố định__1,12509813118851.0,14336420190238.0,,18378605420364.0,18989231356738.0,21707592013706.0,20661233695634.0,22704849050232.0,14663833989704.0,11400448681065.0,,,,,,,,,
.. Tài sản cố định hữu hình__1,12508492677824.0,14333364467464.0,,18375300653351.0,18987853462199.0,21673876099121.0,20589827193613.0,20589828677249.0,9414112039849.0,10178704797719.0,,,,,,,,,
- Nguyên giá__1,43537464563257.0,42891304952017.0,,40099569582515.0,36768825851976.0,35952955191353.0,37173063774268.0,33568751687611.0,20811132718079.0,19689386770447.0,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-31028971885433.0,-28557940484553.0,,-21724268929164.0,-17780972389777.0,-14279079092232.0,-16583236580655.0,-12978923010362.0,-11397020678230.0,-9510681972728.0,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,4065636360.0,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,4065636360.0,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,1320441027.0,3055722774.0,,3304767013.0,1377894539.0,29650278225.0,71406502021.0,47303337934.0,56137155830.0,71592983089.0,,,,,,,,,
- Nguyên giá__3,22219536282.0,21823536282.0,,18575451988.0,14964055361.0,47687216360.0,166049838381.0,118594362566.0,118937617039.0,112949095827.0,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-20899095255.0,-18767813508.0,,-15270684975.0,-13586160822.0,-18036938135.0,-94643336360.0,-71291024632.0,-62800461209.0,-41356112738.0,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,1685517889556.0,,,,,,,2067717035049.0,5193584794025.0,1150150900257.0,,,,,,,,,
. Lợi thế thương mại__1,,,,,,857090700000.0,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,32243749055.0,32243749055.0,,,,,,,,,,,,
- Nguyên giá__4,,,,,,37252913794.0,37252913794.0,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,-5009164739.0,-5009164739.0,,,,,,,,,,,,
. Các khoản đầu tư tài chính dài hạn__1,2707393172017.0,,,,,,,922028080000.0,1021678189856.0,1034130448417.0,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,813748080000.0,934497000000.0,938900448417.0,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",2534292623978.0,2723868213739.0,,2607868801651.0,2511561532587.0,957485920465.0,420912964361.0,33280000000.0,20230000000.0,20230000000.0,,,,,,,,,
. Đầu tư dài hạn khác__1,-61699451961.0,,,,,,,75000000000.0,75000000000.0,75000000000.0,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,-61699451961.0,-17787930870.0,,-1300000000.0,-1300000000.0,-16200289718.0,-14900289718.0,,-8048810144.0,,,,,,,,,,
. Tài sản dài hạn khác__1,237704074571.0,358721623030.0,,177315671220.0,146857242197.0,1208001851625.0,467299161959.0,397369411217.0,364903299042.0,289270177815.0,,,,,,,,,
. Chi phí trả trước dài hạn__1,213270405057.0,302263683566.0,,69369206943.0,57906125494.0,92095521807.0,80924435664.0,40023338113.0,48750234779.0,59781754828.0,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,24433669514.0,56457939464.0,,107946464277.0,88951116703.0,252490605693.0,386374726295.0,357296073104.0,316103064263.0,229318422987.0,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,50000000.0,50000000.0,170000000.0,,,,,,,,,
Tổng cộng tài sản__1,54979483924113.0,56902290813532.0,,53523988091378.0,49162925380362.0,47336713540858.0,44851705733557.0,41807846927800.0,33770051959149.0,29421341328603.0,,,,,,,,,
I - NỢ PHẢI TRẢ__1,17326792046523.0,19337072333645.0,,22775182346994.0,21778430131363.0,22283027227908.0,24237053736116.0,21981254444379.0,16831583947254.0,14644150748438.0,,,,,,,,,
. Nợ ngắn hạn__1,3688003367556.0,3892509191498.0,,7620617946024.0,7354070823240.0,8254716536835.0,8151139856837.0,9954142769790.0,8268877570187.0,7141027981183.0,,,,,,,,,
.. Vay và nợ ngắn hạn__1,362423564971.0,,,,,,,130653465281.0,148522338976.0,182418548753.0,,,,,,,,,
.. Phải trả người bán__1,606684265758.0,,,,,,,1397997152684.0,2245883247980.0,3262158176628.0,,,,,,,,,
.. Người mua trả tiền trước__1,58993445333.0,,,,,,,30747911346.0,34682219514.0,10951798025.0,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,9568682965.0,91583743313.0,,73947811538.0,238645978883.0,193602430215.0,695563563456.0,577884003112.0,696866486764.0,566452184785.0,,,,,,,,,
.. Phải trả người lao động__1,933857049063.0,781357537174.0,,1026311895001.0,1080988614740.0,1128932612583.0,1473695042061.0,1082275695410.0,875733112308.0,665308510382.0,,,,,,,,,
.. Chi phí phải trả__1,140814237747.0,,,,,,,5974471832698.0,3766998578380.0,2051294843512.0,,,,,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,,,186425367445.0,59643789931.0,103789228867.0,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,13000000000.0,3597873184.0,,,,,,,,,,,,
