field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[1997],[1996],[1995]
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,59116314018.0,53351736762.0,51516142578.0,62385461648.0,,,61760480182.0,,,,,,,,,,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,16701568045.0,11605384561.0,9375432060.0,20285271233.0,,,22775146269.0,,,,,,,,,,,,,,,,,,,
. Nợ ngắn hạn__1,16701568045.0,11605384561.0,9375432060.0,19312509463.0,,,17360843269.0,,,,,,,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,9900477235.0,8039641665.0,8317795050.0,7509690703.0,,,7481960336.0,,,,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,,,,813790000.0,,,163114250.0,,,,,,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,3520490964.0,2450632350.0,493414510.0,207079794.0,,,2897401550.0,,,,,,,,,,,,,,,,,,,
.. Phải trả người lao động__1,623057500.0,433405000.0,501762500.0,103114900.0,,,333480815.0,,,,,,,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,81818182.0,81818182.0,49500000.0,679414104.0,,,2532382468.0,,,,,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,777801265.0,,12960000.0,,,,252503850.0,,,,,,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,1797922899.0,,,9999419962.0,,,3700000000.0,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,599887364.0,,,,,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",,,,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,,,,972761770.0,,,5414303000.0,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,,,,,,
