field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2013],[2012],[2011],[2010],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[2014],[2009]
- Nguyên giá__1,172701627611.0,159280356545.0,154453933046.0,151729823965.0,130679713725.0,303955166183.0,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-107287702002.0,-101162721364.0,-95491698171.0,-94089341129.0,-88536001336.0,-113141492968.0,,,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,567760739.0,597679691.0,1567168319.0,1472420607.0,1480339563.0,13092404337.0,,,,,,,,,,,,,,,,
- Nguyên giá__3,788499886.0,788499886.0,1728069562.0,1618069562.0,1618069562.0,14209136320.0,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-220739147.0,-190820195.0,-160901243.0,-145648955.0,-137729999.0,-1116731983.0,,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,5477051111.0,317190376.0,,2125922307.0,2681329925.0,2138065515.0,,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,5477051111.0,317190376.0,,2125922307.0,2681329925.0,2138065515.0,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,8500000000.0,4000000000.0,3500000000.0,2000000000.0,,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,8500000000.0,4000000000.0,3500000000.0,2000000000.0,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,2828766055.0,3285029357.0,2862738328.0,2793991065.0,2566974523.0,2567906359.0,,,,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,2756279092.0,3239040611.0,2786193069.0,2793991065.0,2566974523.0,2567906359.0,,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,72486963.0,45988746.0,76545259.0,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,380255936177.0,325312263029.0,307356568109.0,325222778116.0,284163324250.0,408801180083.0,,,,,,,,,,,,,,,,
