field,[2021],[2020],[2018],[2017],[2016],[2013],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2000],[1999],[1998],[1997],[1995],[1994],[2019],[2015],[2014],[2012],[2011],[2010],[2003]
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,5131982381.0,5151703501.0,4132592031.0,3703905593.0,3433801708.0,,,,,,,,,,,,,,,,4664683615.0,3386771199.0,,,,,
.. Phải thu dài hạn khác__1,,,,5300000.0,5300000.0,,,,,,,,,,,,,,,,,5300000.0,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,2391952888.0,2896450161.0,3683805569.0,3601986239.0,3925300849.0,3207586872.0,2460968332.0,,,,,,,,,,,,,,3422490220.0,3473784596.0,3637326098.0,3631745400.0,3807600007.0,2810069886.0,
.. Tài sản cố định hữu hình__1,2391952888.0,2896450161.0,3683805569.0,3601986239.0,3925300849.0,3207586872.0,2456499233.0,,,,,,,,,,,,,,3422490220.0,3473784596.0,3637326098.0,3068196585.0,3237789676.0,2533579684.0,
- Nguyên giá__1,9848036763.0,9848036763.0,9760745853.0,9203835035.0,9136423799.0,7525168850.0,5437986654.0,,,,,,,,,,,,,,9848036763.0,8314335030.0,7994532030.0,7111300957.0,6901693684.0,5845885712.0,
- Giá trị hao mòn luỹ kế__1,-7456083875.0,-6951586602.0,-6076940284.0,-5601848796.0,-5211122950.0,-4317581978.0,-2981487421.0,,,,,,,,,,,,,,-6425546543.0,-4840550434.0,-4357205932.0,-4043104372.0,-3663904008.0,-3312306028.0,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,,,,,,,
